City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-12.15,66,20,6.17,CA,1712609284
1,port elizabeth,-33.918,25.5701,18.39,97,84,4.47,ZA,1712609271
2,mafra,-26.1114,-49.8053,19.29,96,2,0.91,BR,1712609284
3,la passe,45.5549,-0.8967,11.66,80,100,9.42,FR,1712609284
4,bilibino,68.0546,166.4372,-17.51,92,85,1.02,RU,1712609285
5,dunbar,38.3606,-81.7374,25.59,45,75,4.12,US,1712609285
6,grytviken,-54.2811,-36.5092,1.36,89,75,3.68,GS,1712609285
7,tiksi,71.6872,128.8694,-9.78,83,100,9.4,RU,1712608836
8,kayangel,8.0823,134.7173,27.96,76,96,6.47,PW,1712609071
9,puerto natales,-51.7236,-72.4875,4.25,70,75,8.75,CL,1712608810
10,margaret river,-33.95,115.0667,12.03,77,0,5.62,AU,1712609286
11,west island,-12.1568,96.8225,27.99,74,40,5.14,CC,1712609286
12,antalaha,-14.9003,50.2788,24.49,88,54,3.02,MG,1712609286
13,waitangi,-43.9535,-176.5597,14.34,88,100,2.24,NZ,1712609286
14,newala kisimani,-10.95,39.2833,19.62,97,76,1.6,TZ,1712609287
15,badger,64.8,-147.5333,1.31,73,75,2.06,US,1712609287
16,masvingo,-20.0637,30.8277,18.59,92,98,3.11,ZW,1712609287
17,olyokminsk,60.3736,120.4264,-5.61,98,100,0.57,RU,1712609287
18,adamstown,-25.066,-130.1015,23.81,84,77,3.14,PN,1712609171
19,wailua homesteads,22.0669,-159.378,25.24,73,40,6.17,US,1712609288
20,dul'durga,50.6761,113.5931,3.09,70,100,1.17,RU,1712609288
21,college,64.8569,-147.8028,1.06,67,40,2.06,US,1712608832
22,urengoy,65.9667,78.3667,-13.68,96,100,3.31,RU,1712609289
23,qaqortoq,60.7167,-46.0333,-2.38,96,100,1.96,GL,1712609289
24,papatowai,-46.5619,169.4708,13.44,89,100,4.2,NZ,1712608810
25,codrington,-38.2667,141.9667,12.98,61,100,6.59,AU,1712609289
26,davos,46.8043,9.8372,11.25,72,55,4.91,CH,1712609289
27,brisas barra de suchiate,14.55,-92.2167,31.13,59,29,6.13,MX,1712609290
28,cabedelo,-6.9811,-34.8339,29.37,75,100,3.48,BR,1712609290
29,bac lieu,9.285,105.7244,27.81,79,48,3.33,VN,1712609290
30,pechora,65.1472,57.2244,-14.69,94,77,2.78,RU,1712609290
